                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.68146,                 0.3771,                0.80946,                0.96819,                 0.9497,                0.98647,                0.83402,                 0.6039,                0.36435,                 0.7988,              0.0013268,              0.0013268,              0.0013268
                     37,                0.66675,                0.36848,                0.80644,                0.96582,                0.95299,                 0.9882,                0.82706,                0.62234,                0.35985,                0.80065,               0.001307,               0.001307,               0.001307
                     38,                 0.6826,                0.37737,                0.80938,                0.96303,                0.95566,                0.98775,                0.83948,                0.58634,                0.35241,                0.79682,              0.0012872,              0.0012872,              0.0012872
                     39,                0.68307,                0.37724,                0.80881,                0.97323,                0.94656,                0.98769,                0.84395,                0.57981,                0.35075,                0.79734,              0.0012674,              0.0012674,              0.0012674
                     40,                0.67712,                0.37564,                0.81053,                0.96783,                0.94345,                0.98671,                 0.8317,                0.60638,                0.35553,                0.79927,              0.0012476,              0.0012476,              0.0012476
                     41,                0.66611,                0.37073,                0.80562,                0.95894,                0.95343,                0.98672,                0.83323,                0.59947,                0.36031,                 0.7989,              0.0012278,              0.0012278,              0.0012278
                     42,                0.66977,                0.37207,                0.80539,                0.96031,                0.95385,                0.98676,                 0.8446,                0.58712,                0.34997,                0.79835,               0.001208,               0.001208,               0.001208
                     43,                0.66481,                0.36851,                0.80747,                0.96297,                0.95399,                0.98783,                0.83344,                0.62866,                0.35377,                0.80403,              0.0011882,              0.0011882,              0.0011882
                     44,                0.66396,                0.36609,                0.80682,                0.96013,                0.95469,                  0.987,                0.84274,                0.58625,                0.34344,                0.79749,              0.0011684,              0.0011684,              0.0011684
                     45,                0.66116,                0.36034,                0.80624,                0.97121,                0.95089,                0.98754,                0.84054,                 0.5862,                0.34184,                0.79793,              0.0011486,              0.0011486,              0.0011486
                     46,                0.66783,                0.36398,                0.80618,                0.95201,                0.95444,                 0.9855,                 0.8468,                0.56276,                0.34968,                0.79541,              0.0011288,              0.0011288,              0.0011288
                     47,                0.65512,                0.35874,                0.80357,                0.95936,                0.95621,                0.98738,                 0.8495,                0.57588,                0.34291,                0.79597,               0.001109,               0.001109,               0.001109
                     48,                0.64999,                0.35547,                0.80447,                0.97727,                0.94438,                0.98767,                0.85536,                0.55581,                0.32699,                0.79512,              0.0010892,              0.0010892,              0.0010892
                     49,                 0.6424,                0.35361,                0.80445,                0.95909,                0.95714,                0.98696,                0.84346,                0.58581,                0.34322,                0.79659,              0.0010694,              0.0010694,              0.0010694
                     50,                0.65479,                0.36233,                0.80445,                0.95889,                0.95221,                0.98606,                0.84696,                0.56937,                0.33955,                0.79441,              0.0010496,              0.0010496,              0.0010496
                     51,                0.64145,                0.35206,                0.80339,                0.96703,                0.95325,                0.98742,                0.85452,                0.55208,                0.33654,                0.79468,              0.0010298,              0.0010298,              0.0010298
                     52,                0.63928,                0.35282,                0.80438,                 0.9726,                 0.9497,                0.98822,                0.84643,                0.56951,                0.33642,                0.79476,                0.00101,                0.00101,                0.00101
                     53,                0.66486,                0.36239,                0.80583,                0.95486,                0.95126,                 0.9868,                0.83824,                0.58468,                0.34439,                0.79567,              0.0009902,              0.0009902,              0.0009902
                     54,                0.64225,                0.34828,                0.80192,                0.97635,                0.94793,                0.98864,                 0.8491,                 0.5593,                0.32396,                0.79565,              0.0009704,              0.0009704,              0.0009704
                     55,                0.63334,                0.34335,                0.80154,                0.95681,                0.96213,                0.98888,                0.85057,                0.56188,                0.32636,                0.79377,              0.0009506,              0.0009506,              0.0009506
                     56,                0.62138,                0.34235,                 0.8027,                0.96996,                0.95517,                0.98891,                0.85487,                0.55099,                0.31686,                 0.7927,              0.0009308,              0.0009308,              0.0009308
                     57,                0.62373,                0.34339,                0.80397,                0.96495,                0.95621,                0.98829,                0.84745,                0.57031,                0.32858,                 0.7956,               0.000911,               0.000911,               0.000911
                     58,                0.63488,                0.34716,                0.80516,                0.95265,                0.96427,                0.98904,                0.85596,                0.54582,                 0.3235,                0.79255,              0.0008912,              0.0008912,              0.0008912
                     59,                0.62722,                0.34607,                0.80291,                0.96838,                0.95503,                0.98871,                0.85613,                0.54423,                0.31954,                 0.7945,              0.0008714,              0.0008714,              0.0008714
